Title,Date,Creator,Identifier,Recipient,Gender of Author,Age of Author,Identified People,Unidentified People,Subject,Geographic Subjects,Place Of Origin,Destination,Notes,Language,Transcript,Reference URL,CONTENTdm number,CONTENTdm file name
1875 July 29COMMA NewportCOMMA to My dear Frank,1875-07-29,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,hsc1681,CopeCOMMA Francis ReeveCOMMA 1821-1909,F,50-60,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; YarnallCOMMA Margaret; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; CopeCOMMA Francis HazenCOMMA 1859-1909; HartshorneCOMMA HenryCOMMA 1823-1897; HartshorneCOMMA Mary Elizabeth BrownCOMMA b. 1823; StorkCOMMA Anna Brown CopeCOMMA b. 1862; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; HainesCOMMA Francis CopeCOMMA 1857-1918; HainesCOMMA John SmithCOMMA 1820-1886; LongstrethCOMMA Mary AnnaCOMMA 1811-1884; HackerCOMMA Beulah; CopeCOMMA Marmaduke CooperCOMMA 1804-1897; StewardsonCOMMA Meta,Bessie; William; Caroline M[?]; Nancy; Bateman; WhitallCOMMA Thomas; Henry; WhitallCOMMA Mary,Weather; Boardinghouses,Germantown (PhiladelphiaCOMMA Pa.); New York (State); Niagara (N.Y.); Adirondack Mountains (N.Y.); Elizabethtown (N.Y.),Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9412,9412,7543.cpd
1839 August 31COMMA WoodbourneCOMMA to Dear BrotherCOMMA Philadelphia,1839-08-31,CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA Susan L. NewboldCOMMA 1805-1872,hsc5041,CopeCOMMA AlfredCOMMA 1806-1875,M,40-50,NewboldCOMMA William; TysonCOMMA Eleanor CopeCOMMA 1807-1847; CopeCOMMA Hannah EdgeCOMMA 1814-1843; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; NewboldCOMMA Emily; NewboldCOMMA Elizabeth; DrinkerCOMMA Francis,Eliza; Hannah,Marriage--Religious aspects; Trees; Crops; Banks and banking,Bloomsdale (Pa.); Philadelphia (Pa.); Susquehanna County (Pa.); Montrose (Susquehanna CountyCOMMA Pa.),Woodbourne (Susquehanna CountyCOMMA Pa.),Philadelphia (Pa.),Contains postscript by Susan Newbold Cope.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9419,9419,7550.cpd
1836 October 9thCOMMA BloomsdaleCOMMA to My dear RachelCOMMA Philadelphia,1836-10-09,CopeCOMMA Susan L. NewboldCOMMA 1805-1872,hsc2017,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,F,30-40,CopeCOMMA ClementineCOMMA 1835-1903; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890,,Children; Family,,Bloomsdale (Pa.),Philadelphia (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9422,9422,7553.cpd
1854 SpringCOMMA to Dear Clemmy,1854,CopeCOMMA Thomas PimCOMMA 1823-1900; GarrettCOMMA Elizabeth Waln CopeCOMMA 1841-1931,hsc2060,CopeCOMMA ClementineCOMMA 1835-1903,M; F,30-40; 10-20,CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902,,,New York (N.Y.),,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9426,9426,7557.cpd
1870 August 18COMMA Snow ShoeCOMMA to My dear mother,1870-08-18,CopeCOMMA Francis HazenCOMMA 1859-1909,hsc2008,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,10-20,CopeCOMMA Francis ReeveCOMMA 1821-1909,,Railroad travel; Accidents; Physicians,Susquehanna River; Williamsport (Pa.); Catawissa (Pa.); Mauch Chunk (Pa.); Altoona (Pa.),Snow Shoe,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9430,9430,7561.cpd
1876 August 15COMMA PhiladelphiaCOMMA to Dear Anna,1876-08-13,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc1724,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,50-60,LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; ArchibaldCOMMA Nancy; CopeCOMMA AlfredCOMMA 1857-1897; EvansCOMMA JonathanCOMMA 1843-1911; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; EvansCOMMA Anna CopeCOMMA 1875-1967,Mother; Sarah; Sarah's brother and sister,Letter writing; Clocks and watches; Diseases,Jefferson (N.H.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9433,9433,7564.cpd
1876 July 11COMMA PhiladelphiaCOMMA to Dear Anna,1876-07-11,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc1718,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,50-60,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA RuthannaCOMMA 1834-1879; CopeCOMMA AnnetteCOMMA 1843-1916; StorkCOMMA Anna Brown CopeCOMMA b. 1862,,,Philadelphia (Pa.); Atlantic City (N.J.),Philadelphia,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9436,9436,7567.cpd
1888 August 28COMMA AwburyCOMMA to My Dear Wife,1888-08-28,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3031,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,StorkCOMMA Anna Brown CopeCOMMA b. 1862; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902,,,,Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9440,9440,7571.cpd
1896 September 29COMMA AwburyCOMMA to My Dear Wife,1896-09-29,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3179,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Francis HazenCOMMA 1859-1909; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA E. D. (Edward Drinker)COMMA 1840-1897; CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,,Silence; School; Letters; Gifts; Rain and rainfall; Winter; Cottages; Health,Newport (R.I.); Lake Placid (N.Y.); Saranac (N.Y.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9444,9444,7575.cpd
1836 May 20COMMA HaverfordCOMMA to Dear MotherCOMMA Philadelphia,1836-05-20,CopeCOMMA Thomas PimCOMMA 1823-1900,hsc2046,CopeCOMMA Rachel ReeveCOMMA 1794-1863,M,10-20,CopeCOMMA CalebCOMMA 1736-1824; CopeCOMMA HenryCOMMA 1793-1865; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; CopeCOMMA RuthannaCOMMA 1834-1879,,Diseases; Shoes; Botany,,Haverford (Pa.),Philadelphia (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9446,9446,7577.cpd
1895 September 20COMMA AwburyCOMMA to Dear Wife,1895-09-20,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3152,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,LewisCOMMA William DraperCOMMA 1867-1949; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; LewisCOMMA Henry; WendellCOMMA Carrie; ArchibaldCOMMA Nancy,,Homecoming; High temperatures,Boston (Mass.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9449,9449,7580.cpd
1857 September 22COMMA PhiladelphiaCOMMA to Dear Clemmy,1857-09-22,CopeCOMMA Thomas PimCOMMA 1823-1900,hsc2061,CopeCOMMA ClementineCOMMA 1835-1903,M,30-40,CopeCOMMA Rachel ReeveCOMMA 1794-1863; CopeCOMMA MargaretCOMMA 1856-1948; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Susan L. NewboldCOMMA 1805-1872; CopeCOMMA EdgarCOMMA 1838-1895; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,,Vacations; Seashore; New Jersey--Description and travel,Absecon (N.J.); Awbury (PhiladelphiaCOMMA Pa.); Newport (R.I.); Point Judith Harbor of Refuge (R.I.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9453,9453,7584.cpd
1869 October 9COMMA AwburyCOMMA to Dear AnnaCOMMA Newport,1869-10-09,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc1707,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,40-50,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Francis HazenCOMMA 1859-1909,,Postal service; Health; Driving of horse drawn vehicles,Haverford (Pa. : Township),Awbury (PhiladelphiaCOMMA Pa.),Newport (R.I.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9457,9457,7588.cpd
1893 October 1COMMA AwburyCOMMA to Dear Lillie,1893-10-01,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3119,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,HainesCOMMA Francis CopeCOMMA 1857-1918; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; EvansCOMMA Ernest MervynCOMMA 1884-1911; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; StewardsonCOMMA Evelyn; StorkCOMMA Theophilus Baker; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; LewisCOMMA Henry,,,Philadelphia (Pa.); Woodbourne (Susquehanna CountyCOMMA Pa.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9460,9460,7591.cpd
1869 September 27COMMA to Dear Anna,1869-09-27,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc1704,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,40-50,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Amy Elizabeth Yarnall; EmlenCOMMA Eleanor CopeCOMMA 1854-1920,,,,,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9463,9463,7594.cpd
1891 June 27COMMA AwburyCOMMA to My Dear Wife,1891-06-27,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3063,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; YarnallCOMMA Edward; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA HenryCOMMA 1850-1924; CopeCOMMA Francis HazenCOMMA 1859-1909; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953,,Voyages and travels; Weather; Driving of horse drawn vehicles; Souvenirs; Gifts; Spoons,Woodbourne (Susquehanna CountyCOMMA Pa.); Conanicut (Island : R.I.); Rome (Italy),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9467,9467,7598.cpd
1891 September 6COMMA AwburyCOMMA to My Dear Wife,1891-09-06,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3073,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA Marmaduke CooperCOMMA 1804-1897; WhitallCOMMA JamesCOMMA 1834-1896; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; KimberCOMMA ShoberCOMMA b. 1866; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; SpragueCOMMA Mary; HartshorneCOMMA HenryCOMMA 1823-1897; EvansCOMMA JonathanCOMMA 1843-1911; ComfortCOMMA HowardCOMMA 1850-1912; HartshorneCOMMA CharlesCOMMA 1829-1908; StorkCOMMA Anna Brown CopeCOMMA b. 1862,his granddaughter; Dr. Watson; Kinvier,Death; Loneliness; Funeral service--Society of Friends; Weather; Cold (Disease); Meetings; Libraries; Building; Health; Riddles,Germantown (PhiladelphiaCOMMA Pa.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9471,9471,7602.cpd
1896 July 10COMMA PhiladelphiaCOMMA to My Dear Wife,1896-07-10,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3160,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; StorkCOMMA Theophilus Baker; VauxCOMMA GeorgeCOMMA 1832-1915; LewisCOMMA William DraperCOMMA 1867-1949; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859,Henry,,Northeast Harbor (Me.); Lake Placid (N.Y.); New York (N.Y.); Boston (Mass.),Philadelphia,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9474,9474,7605.cpd
1889 August 27COMMA AwburyCOMMA to My Dear Wife,1889-08-27,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3048,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,EvansCOMMA JonathanCOMMA 1843-1911; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; StokesCOMMA Katharine Wistar EvansCOMMA 1841-1904; MasonCOMMA Katharine Evans StokesCOMMA 1866-1947; CarterCOMMA John E. (John Elliot)COMMA 1838-1922; HainesCOMMA Henry CopeCOMMA 1853-1900; ScottCOMMA Maggie,the doctor,Health; Weather; Driving of horse drawn vehicles,Roxborough (PhiladelphiaCOMMA Pa.); Chestnut Hill (PhiladelphiaCOMMA Pa.); Maryland,Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9478,9478,7609.cpd
1869 October 14COMMA PhiladelphiaCOMMA to My Dear AnnaCOMMA Newport,1869-10-14,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc1709,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,40-50,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Francis HazenCOMMA 1859-1909; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; EmlenCOMMA SamuelCOMMA 1829-1920; WaneCOMMA Anne; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA AlfredCOMMA 1857-1897,Catherine; John; Ellen,Health; Travel--planning; Low temperatures; Autumn; Entertaining; Housekeeping; Dinners and dining; Diseases; Nature; Parks; Letters; Haverford College,Newport (R.I.); Frankford (PhiladelphiaCOMMA Pa.); Lehigh River (Pa.); Haverford (Pa. : Township); Fairmount Park (PhiladelphiaCOMMA Pa.); Philadelphia (Pa.),Philadelphia (Pa.),Newport (R.I.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9484,9484,7615.cpd
1893 September 16COMMA PhiladelphiaCOMMA to Dear Wife,1893-09-16,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3110,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; LewisCOMMA Henry; EvansCOMMA Anna CopeCOMMA 1875-1967; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; EmlenCOMMA Eleanor CopeCOMMA 1854-1920; EmlenCOMMA Marion Hartshorne HainesCOMMA 1880-1936; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Ernest MervynCOMMA 1884-1911; EvansCOMMA JonathanCOMMA 1843-1911,Mrs. Beattie,Health; Infants; Travel--planning; Poetry,,Philadelphia,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9487,9487,7618.cpd
1859 October 8COMMA PhiladelphiaCOMMA to Dear Clemmy,1859-10-08,CopeCOMMA Thomas PimCOMMA 1823-1900,hsc2064,CopeCOMMA ClementineCOMMA 1835-1903,M,30-40,BrownCOMMA Susanna SansomCOMMA 1826-1909; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA RuthannaCOMMA 1834-1879; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; CopeCOMMA HenryCOMMA 1850-1924,,Apples; Diseases; Typhoid fever; Boarding schools; Westtown Boarding School,Westtown (Pa.); Westtown Boarding School,Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9492,9492,7623.cpd
1876 January 7COMMA AwburyCOMMA to My dear Alexis & Lillie,1876-01-07,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,hsc1682,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883,F,50-60,CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA Thomas PimCOMMA 1823-1900; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; EvansCOMMA JonathanCOMMA 1843-1911; EvansCOMMA Anna CopeCOMMA 1875-1967; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA AlfredCOMMA 1857-1897; HainesCOMMA John SmithCOMMA 1820-1886; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; HainesCOMMA Francis CopeCOMMA 1857-1918; HartshorneCOMMA HenryCOMMA 1823-1897; HartshorneCOMMA Mary Elizabeth BrownCOMMA b. 1823; BrownCOMMA Elizabeth H.COMMA b. 1840?; BrownCOMMA JeremiahCOMMA b. 1792?; BrownCOMMA Susanna SansomCOMMA 1826-1909; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; AlsopCOMMA Samuel; HartshorneCOMMA CharlesCOMMA 1829-1908,EmlenCOMMA Sarah; Jonnie; TaylorCOMMA Frank; Dr. Darrach; YarnallCOMMA C; William; H & S Simpson,Death; Weather; Christmas; Gifts; Dolls; Health; Voyages and travels; New Year; Dresses; Haverford College; Harvard University,Menton (France); Rome (Italy); Haverford (Pa. : Township); Atlantic City (N.J.); Burlington (N.J.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9500,9500,7631.cpd
1890 September 3COMMA AwburyCOMMA to Dear LillieCOMMA Woodbourne,1890-09-03,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3058,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA AlfredCOMMA 1857-1897; YarnallCOMMA Edward; EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Edward W. (Edward Wyatt)COMMA 1882-1976; EvansCOMMA Ernest MervynCOMMA 1884-1911; EvansCOMMA HaroldCOMMA 1886-1977; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; ComptonCOMMA MilesCOMMA b. 1845; ArchibaldCOMMA Nancy; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902,the doctor; Mr. Harris; Frank H; Marion; Elsie; Elsie's grandfather; Dr. Oliver,Voyages and travels; Fever; Railroad travel; Carriages and carts; Driving of horse drawn vehicles; Suntan,Woodbourne (Susquehanna CountyCOMMA Pa.); Foster (Pa.),Awbury (PhiladelphiaCOMMA Pa.),Woodbourne (Susquehanna CountyCOMMA Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9504,9504,7635.cpd
1895 August 27COMMA PhiladelphiaCOMMA to My Dear Wife,1895-08-27,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3148,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; EvansCOMMA JonathanCOMMA 1843-1911; BrownCOMMA Susanna SansomCOMMA 1826-1909; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962; CopeCOMMA ClementineCOMMA 1835-1903,,Water; Hose; Health; Encyclopedias and dictionaries,Schuylkill River (Pa.); Rye Beach (N.H.),Philadelphia,,"Refers to ""The Household CyclopediaCOMMA"" published in 1881 with illustrations by Henry Hartshorne (1823-1897).",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9508,9508,7639.cpd
1853 December 17COMMA PhiladelphiaCOMMA to Dear ClemmyCOMMA Woodbourne,1853-12-17,CopeCOMMA Thomas PimCOMMA 1823-1900,hsc2059,CopeCOMMA ClementineCOMMA 1835-1903,M,30-40,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902,Aunt Mary,,,Philadelphia (Pa.),Woodbourne (Susquehanna CountyCOMMA Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9514,9514,7645.cpd
1884 July 19COMMA PhiladelphiaCOMMA to Dear LillieCOMMA Woodbourne,1884-07-19,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc1743,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; KiteCOMMA WilliamCOMMA 1810-1900; EvansCOMMA Anna CopeCOMMA 1875-1967; StorkCOMMA Anna Brown CopeCOMMA b. 1862,,Banks and banking; Carriages and carts; Lightning rods; Sunday school literature; Health,Woodbourne (Susquehanna CountyCOMMA Pa.),Philadelphia,Woodbourne (Susquehanna CountyCOMMA Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9518,9518,7649.cpd
1866 July 27COMMA AuburyCOMMA to Dear Chelly,1866-07-27,CopeCOMMA Francis HazenCOMMA 1859-1909,hsc2002,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,M,0-10,StewardsonCOMMA Langdon; BurnsCOMMA Susan; CopeCOMMA RuthannaCOMMA 1834-1879; CopeCOMMA William BrownCOMMA 1854-1860; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA AlfredCOMMA 1857-1897,Phoebe; Mamie; Uncle Harry;,Cricket matches; Wounds and injuries; Family; Weather,Germantown (PhiladelphiaCOMMA Pa.); New York (N.Y.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9521,9521,7652.cpd
1886 October 5COMMA AwburyCOMMA to Dear LillieCOMMA Woodbourne,1886-10-05,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3008,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Francis HazenCOMMA 1859-1909; EvansCOMMA JonathanCOMMA 1843-1911; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA EdgarCOMMA 1838-1895; CopeCOMMA Amy Elizabeth Yarnall;,,Railroad travel; Driving of horse drawn vehicles; Health,Scranton (Pa.); Wilkes-Barre (Pa.); Wayne Junction Station (PhiladelphiaCOMMA Pa.); Awbury (PhiladelphiaCOMMA Pa.); Woodbourne (Susquehanna CountyCOMMA Pa.),Awbury (PhiladelphiaCOMMA Pa.),Woodbourne (Susquehanna CountyCOMMA Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9526,9526,7657.cpd
1883 August 31COMMA PhiladelphiaCOMMA to My dear Wife,1883-08-31,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc1738,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CarlyleCOMMA Jane WelshCOMMA 1801-1866; ArchibaldCOMMA Nancy; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Edward W. (Edward Wyatt)COMMA 1882-1976,,Letters; Dwellings--Maintenance and repair,Water Gap (Pa.); Newport (R.I.),Philadelphia,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9529,9529,7660.cpd
1884 September 8COMMA PhiladelphiaCOMMA to Dear LillieCOMMA Woodbourne,1884-09-08,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc1748,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Francis HazenCOMMA 1859-1909,Miss Patterson,FinanceCOMMA Personal; Weather forecasting; VisitorsCOMMA Foreign,Philadelphia (Pa.); Washington (D.C.); Glasgow (Scotland),Philadelphia,Woodbourne (Susquehanna CountyCOMMA Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9534,9534,7665.cpd
1824 September 13COMMA PhiladelphiaCOMMA to my EllenCOMMA New York,1824-09-13,HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890,hsc1627,TysonCOMMA Eleanor CopeCOMMA 1807-1847,F,50-60,SharplessCOMMA BenjaminCOMMA 1769-1852; HoopesCOMMA Amy; HoopesCOMMA Jesse; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890,Jane; Aunt B; DarlingCOMMA Susan; brother J; Mr. A; Cara,,New York (N.Y.); Mauch Chunk (Pa.),Philadelphia (Pa.),New York (N.Y.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9537,9537,7668.cpd
